number,value,datetime_start,datetime_complete,duration,params_batch_size,params_d_ff,params_d_model,params_dropout,params_e_layers,params_fc_dropout,params_head_dropout,params_learning_rate,params_n_heads,state
116,0.7731112987781517,2024-09-14 18:27:06.121805,2024-09-14 18:48:35.367620,0 days 00:21:29.245815,32,256,128,0.3,4,0.3,0.1,7.820723403869423e-05,16,COMPLETE
117,0.6589546814128072,2024-09-14 18:48:35.382222,2024-09-14 19:10:03.818356,0 days 00:21:28.436134,32,256,128,0.3,4,0.3,0.1,3.2503941338871887e-06,16,COMPLETE
118,0.7721688804212172,2024-09-14 19:10:03.833242,2024-09-14 19:29:28.165310,0 days 00:19:24.332068,32,256,128,0.3,4,0.3,0.1,6.184564950369986e-05,16,COMPLETE
119,0.7737184769950345,2024-09-14 19:29:28.180113,2024-09-14 19:40:17.888767,0 days 00:10:49.708654,32,256,128,0.3,4,0.3,0.1,9.907999887443296e-05,16,COMPLETE
120,0.7791265358455637,2024-09-14 19:40:17.903769,2024-09-14 20:01:49.339102,0 days 00:21:31.435333,32,256,128,0.3,4,0.3,0.1,8.511005568010982e-05,16,COMPLETE
121,0.7742817942317831,2024-09-14 20:01:49.353287,2024-09-14 20:23:22.656616,0 days 00:21:33.303329,32,256,128,0.3,4,0.3,0.1,7.887083343329605e-05,16,COMPLETE
122,0.7780250325282512,2024-09-14 20:23:22.670425,2024-09-14 20:44:52.702139,0 days 00:21:30.031714,32,256,128,0.3,4,0.3,0.1,8.851026817842175e-05,16,COMPLETE
123,0.7812660033305895,2024-09-14 20:44:52.716375,2024-09-14 21:06:26.891279,0 days 00:21:34.174904,32,256,128,0.3,4,0.3,0.1,8.599014464719942e-05,16,COMPLETE
124,0.7739779680369627,2024-09-14 21:06:26.905242,2024-09-14 21:28:02.598715,0 days 00:21:35.693473,32,256,128,0.3,4,0.3,0.1,7.050187350104338e-05,16,COMPLETE
125,0.7706431110284997,2024-09-14 21:28:02.612662,2024-09-14 21:49:40.668243,0 days 00:21:38.055581,32,256,128,0.3,4,0.3,0.1,6.337383099180207e-05,2,COMPLETE
126,0.7687701286335858,2024-09-14 21:49:40.682334,2024-09-14 22:11:19.664806,0 days 00:21:38.982472,32,256,128,0.3,4,0.2,0.1,5.150199096822099e-05,16,COMPLETE
127,0.7339694044769495,2024-09-14 22:11:19.679080,2024-09-14 22:20:27.161017,0 days 00:09:07.481937,32,256,16,0.3,4,0.3,0.1,8.182972139158116e-05,16,COMPLETE
128,0.7700592858199585,2024-09-14 22:20:27.176058,2024-09-14 22:42:08.064656,0 days 00:21:40.888598,32,256,128,0.3,4,0.3,0.1,7.260854837835578e-05,16,COMPLETE
129,0.7588005278491146,2024-09-14 22:42:08.079777,2024-09-14 23:03:48.693314,0 days 00:21:40.613537,32,256,128,0.3,4,0.3,0.1,4.0745683951049385e-05,16,COMPLETE
130,0.7798188280725447,2024-09-14 23:03:48.707407,2024-09-14 23:25:28.511959,0 days 00:21:39.804552,32,256,128,0.3,4,0.3,0.1,8.748751918511748e-05,16,COMPLETE
131,0.7562497154963452,2024-09-14 23:25:28.526390,2024-09-14 23:47:08.173249,0 days 00:21:39.646859,32,256,64,0.3,4,0.3,0.1,5.846580680322996e-05,16,COMPLETE
132,0.7781286392759194,2024-09-14 23:47:08.187648,2024-09-15 00:08:44.843086,0 days 00:21:36.655438,32,256,128,0.3,4,0.3,0.1,8.349332548287452e-05,16,COMPLETE
133,0.6285503685270677,2024-09-15 00:08:44.857405,2024-09-15 00:30:27.840946,0 days 00:21:42.983541,32,256,128,0.3,4,0.3,0.1,2.4357321544798304e-07,16,COMPLETE
134,0.7781349220649656,2024-09-15 00:30:27.855482,2024-09-15 00:50:29.907306,0 days 00:20:02.051824,32,256,128,0.3,4,0.3,0.1,8.62201533554159e-05,16,COMPLETE
135,0.7772453739705709,2024-09-15 00:50:29.922541,2024-09-15 01:12:19.265652,0 days 00:21:49.343111,32,256,128,0.3,4,0.3,0.1,8.769878122087103e-05,16,COMPLETE
136,0.7216145961755123,2024-09-15 01:12:19.280652,2024-09-15 01:27:17.588798,0 days 00:14:58.308146,32,256,128,0.3,3,0.3,0.1,7.071161868094242e-05,16,COMPLETE
137,0.7728103176198803,2024-09-15 01:27:17.603733,2024-09-15 01:49:07.799987,0 days 00:21:50.196254,32,256,128,0.3,4,0.3,0.1,6.348950277795022e-05,16,COMPLETE
138,0.7746522416991317,2024-09-15 01:49:07.814955,2024-09-15 02:08:46.225998,0 days 00:19:38.411043,32,256,128,0.3,4,0.3,0.1,7.862911871536388e-05,16,COMPLETE
139,0.768001731678913,2024-09-15 02:08:46.240545,2024-09-15 02:26:20.437286,0 days 00:17:34.196741,64,256,128,0.3,4,0.3,0.1,8.849285679144932e-05,2,COMPLETE
140,0.7669450376872508,2024-09-15 02:26:20.452124,2024-09-15 02:48:09.582458,0 days 00:21:49.130334,32,256,128,0.3,4,0.3,0.1,5.3368514023382074e-05,16,COMPLETE
